DB Index,Part Name,Batch Name,Log Date,Temp,PTI State,Comment,Ref,VIPR Code/Note,Part Class,Critical Defect,Dimensional,EC,Failure Type,LPI,Picked,SubGroup,Visual,intSite,Fail Reason,NDT_Comment,Tracker Result,MfgMonth,MfgYear (YY),Result,MTS,Bias,%Error,Freq 2,Freq 3,Freq 6,Freq 7,Freq 8,Freq 11,Freq 14,Freq 15,Freq 18,Freq 21,Freq 26,Freq 1,Amp 1,ZW 1,D2 1,Q 1,Freq 2,Amp 2,ZW 2,D2 2,Q 2,Freq 3,Amp 3,ZW 3,D2 3,Q 3,Freq 4,Amp 4,ZW 4,D2 4,Q 4,Freq 5,Amp 5,ZW 5,D2 5,Q 5,Freq 6,Amp 6,ZW 6,D2 6,Q 6,Freq 7,Amp 7,ZW 7,D2 7,Q 7,Freq 8,Amp 8,ZW 8,D2 8,Q 8,Freq 9,Amp 9,ZW 9,D2 9,Q 9,Freq 10,Amp 10,ZW 10,D2 10,Q 10,Freq 11,Amp 11,ZW 11,D2 11,Q 11,Freq 12,Amp 12,ZW 12,D2 12,Q 12,Freq 13,Amp 13,ZW 13,D2 13,Q 13,Freq 14,Amp 14,ZW 14,D2 14,Q 14,Freq 15,Amp 15,ZW 15,D2 15,Q 15,Freq 16,Amp 16,ZW 16,D2 16,Q 16,Freq 17,Amp 17,ZW 17,D2 17,Q 17,Freq 18,Amp 18,ZW 18,D2 18,Q 18,Freq 19,Amp 19,ZW 19,D2 19,Q 19,Freq 20,Amp 20,ZW 20,D2 20,Q 20,Freq 21,Amp 21,ZW 21,D2 21,Q 21,Freq 22,Amp 22,ZW 22,D2 22,Q 22,Freq 23,Amp 23,ZW 23,D2 23,Q 23,Freq 24,Amp 24,ZW 24,D2 24,Q 24,Freq 25,Amp 25,ZW 25,D2 25,Q 25,Freq 26,Amp 26,ZW 26,D2 26,Q 26,Freq 27,Amp 27,ZW 27,D2 27,Q 27,Freq 28,Amp 28,ZW 28,D2 28,Q 28,,,,,,,,,,,
41,4730,44963354_1450,6/30/2022 19:44,26.5,2,,FALSE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,200_LA (old),none,,,11,2012,Pass,0,0,,2.181,2.313,3.023,3.132,3.159,3.322,3.391,4.065,4.212,4.277,4.357,1.067,0.131,0.485,-0.293,-0.187,-0.022,-0.205,0.019,-0.523,0.219,0.059,2.181,0.13,0.011,-34.891,0.196,2.313,0.132,0.013,-25.715,0.181,3.023,0.038,0.007,-100.669,0.447,3.132,0.086,0.005,-190.692,0.59,3.159,0.042,0.003,-184.544,1.185,3.322,0.032,0.009,-71.788,0.374,3.391,0.024,0.008,-62.738,0.402,4.065,0.022,0.005,-131.634,0.765,4.212,0.02,0.008,-132.184,0.56,4.277,0.038,0.007,-129.314,0.643,4.357,0.062,0.006,-118.056,0.752,4.722,0.032,0.008,-77.381,0.623,5.07,0.068,0.009,-56.401,0.565,5.196,0.045,0.006,-112.566,0.924,5.528,0.026,0.005,-188.348,1.119,5.999,0.03,0.006,-203.889,0.934,6.062,0.046,0.006,-167.11,1.097,6.247,0.039,0.005,-169.888,1.171,6.637,0.006,0.01,-33.683,0.687,6.95,0.004,0.003,-10.682,2.341,7.17,0.047,0.009,-55.91,0.826,8.311,0.138,0.01,-49.118,0.821,8.402,0.168,0.009,-52.667,0.932,5.125,0.015,0.005,-206.576,1.124,5.699,0.005,0.005,-93.424,1.113,3.758,0.039,0.007,-54.992,0.512,6.145,0.021,0.005,-102.474,1.361,11.368,0.014,0.014,-14.154,0.819
42,6144,44969859_1450,7/6/2022 21:48,25.4,2,,FALSE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,200_LA (old),none,,,4,2015,Pass,0,0,,2.192,2.314,3.026,3.141,3.165,3.311,3.398,4.064,4.19,4.269,4.341,1.186,0.473,-0.614,0.135,-0.22,-0.927,-0.229,-0.174,-0.129,0.218,0.58,2.192,0.167,0.004,-57.857,0.584,2.314,0.221,0.012,-43.855,0.2,3.026,0.042,0.008,-76.382,0.396,3.141,0.112,0.005,-211.396,0.587,3.165,0.061,0.004,-188.44,0.791,3.311,0.046,0.006,-110.072,0.539,3.398,0.026,0.007,-92.568,0.511,4.064,0.027,0.005,-125.861,0.808,4.19,0.023,0.006,-168.937,0.666,4.269,0.034,0.005,-165.423,0.78,4.341,0.066,0.006,-101.442,0.761,4.715,0.037,0.007,-109.341,0.646,5.062,0.082,0.008,-67.741,0.602,5.196,0.053,0.005,-121.324,1.034,5.524,0.025,0.006,-147.536,0.971,5.986,0.039,0.005,-207.829,1.097,6.049,0.075,0.006,-124.68,0.978,6.256,0.043,0.005,-168.411,1.188,6.644,0.007,0.008,-47.133,0.8,6.986,0.008,0.008,-50.973,0.906,7.17,0.044,0.007,-62.526,0.987,8.312,0.019,0.009,-37.756,0.888,8.421,0.021,0.009,-62.083,0.926,5.116,0.007,0.002,-60.779,2.827,5.697,0.005,0.005,-84.031,1.096,3.763,0.051,0.004,-108.974,0.993,6.138,0.02,0.006,-143.637,1.099,11.359,0.015,0.012,-23.074,0.918
43,6221,44978242_1450,7/9/2022 0:53,28.7,2,,FALSE,,GD,No Defect,Pass,Pass,Green,Pass,Pass,Green,Pass,300_FW,none,,,0,0,Pass,0,0,,2.18,2.309,3.009,3.125,3.154,3.337,3.391,4.072,4.238,4.288,4.374,0.63,-1.091,2.082,-0.273,0.181,0.96,0.674,0.387,-0.495,0.451,-0.278,2.18,0.093,0.008,-74.688,0.259,2.309,0.11,0.008,-104.373,0.281,3.009,0.021,0.007,-113.525,0.456,3.125,0.046,0.005,-217.619,0.6,3.154,0.033,0.006,-163.03,0.557,3.337,0.017,0.008,-91.248,0.413,3.391,0.012,0.006,-74.119,0.525,4.072,0.011,0.007,-112.585,0.591,4.238,0.012,0.006,-168.443,0.687,4.288,0.017,0.006,-149.385,0.725,4.374,0.021,0.007,-86.004,0.638,4.722,0.016,0.007,-79.124,0.661,5.079,0.026,0.009,-51.179,0.547,5.214,0.014,0.004,-148.23,1.284,5.534,0.013,0.005,-149.649,1.069,6.007,0.014,0.005,-137.372,1.127,6.102,0.006,0.005,-176.914,1.305,6.247,0.016,0.006,-133.172,1.106,6.632,0.003,0.01,-29.754,0.657,6.953,0.002,0.01,-44.589,0.732,7.174,0.013,0.007,-74.085,1.025,8.316,0.034,0.011,-38.057,0.773,8.392,0.041,0.009,-53.04,0.937,5.157,0.011,0.005,-169.864,1.052,5.704,0.011,0.009,-49.125,0.65,3.755,0.016,0.006,-76.689,0.603,6.156,0.008,0.006,-82.915,0.947,11.374,0.02,0.004,-51.163,3.103
44,8077,44963672_1450,7/18/2022 16:21,24.6,2,,FALSE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,100_LVL (old),none,,,8,2017,Pass,0,0,,2.179,2.295,3.032,3.139,3.163,3.313,3.4,4.072,4.205,4.28,4.348,-0.875,0.949,-0.408,0.236,0.181,-0.522,-0.057,0.749,-0.093,0.518,0.037,2.179,0.053,0.01,-57.348,0.214,2.295,0.047,0.008,-98.991,0.281,3.032,0.016,0.007,-74.673,0.407,3.139,0.035,0.006,-129.495,0.484,3.163,0.017,0.005,-121.626,0.691,3.313,0.013,0.007,-73.523,0.456,3.4,0.008,0.007,-63.154,0.49,4.072,0.01,0.007,-70.475,0.558,4.205,0.01,0.006,-162.101,0.718,4.28,0.013,0.007,-94.344,0.61,4.348,0.016,0.006,-92.352,0.67,4.723,0.01,0.008,-54.323,0.581,5.067,0.025,0.009,-58.985,0.587,5.199,0.012,0.006,-73.089,0.851,5.54,0.065,0.005,-148.192,1.044,6,0.008,0.007,-90.195,0.835,6.068,0.008,0.008,-54.696,0.767,6.257,0.009,0.006,-112.959,1.112,6.653,0.032,0.006,-122.802,1.071,6.954,0.001,0.004,-43.739,1.723,7.176,0.078,0.01,-35.887,0.686,8.314,0.017,0.007,-94.219,1.256,8.416,0.016,0.011,-34.985,0.781,5.121,0.004,0.004,-142.101,1.27,5.704,0.013,0.006,-151.224,0.934,3.758,0.029,0.006,-94.874,0.607,6.157,0.007,0.003,-171.933,2.227,11.411,0.033,0.01,-37.047,1.155
45,1051,44966932_1450,8/23/2022 17:38,24,2,,FALSE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,100_LVL (old),none,,,2,2000,Pass,0,0,,2.17,2.301,3,3.119,3.148,3.333,3.361,4.053,4.236,4.273,4.377,-0.256,-1.808,1.601,-2.054,-0.801,1.143,-0.289,-0.94,-0.798,0,-0.313,2.17,0.033,0.008,-58.81,0.257,2.301,0.031,0.005,-139.071,0.502,3,0.006,0.007,-27.447,0.411,3.119,0.018,0.007,-94.992,0.474,3.148,0.01,0.002,-157.905,1.32,3.333,0.009,0.007,-75.877,0.487,3.361,0.005,0.008,-35.741,0.409,4.053,0.009,0.008,-47.25,0.526,4.236,0.011,0.006,-98.271,0.692,4.273,0.005,0.006,-77.484,0.768,4.377,0.119,0.006,-100.71,0.72,4.728,0.008,0.007,-53.259,0.642,5.056,0.019,0.008,-54.091,0.616,5.195,0.007,0.006,-76.141,0.885,5.511,0.006,0.004,-108.147,1.421,5.986,0.003,0.004,-34.53,1.371,6.067,0.005,0.005,-87.098,1.124,6.24,0.01,0.005,-125.574,1.235,6.608,0.001,0.006,-72.336,1.19,6.929,0.001,0.008,-26.283,0.91,7.165,0.065,0.007,-72.384,0.995,8.291,0.009,0.008,-35.948,0.996,8.357,0.011,0.012,-18.076,0.697,5.133,0.014,0.005,-86.436,0.96,5.702,0.018,0.005,-154.154,1.12,3.754,0.018,0.006,-86.37,0.615,6.136,0.005,0.004,-96.21,1.405,11.351,0.031,0.008,-28.616,1.365
46,2546,44966017_1450,8/1/2022 18:46,25.2,2,,FALSE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,100_LVL (old),none,,,3,2005,Pass,0,0,,2.162,2.295,3.03,3.123,3.169,3.322,3.367,4.035,4.206,4.259,4.365,-0.826,0.808,0.52,-1.725,-1.753,0.459,-1.696,-1.302,-1.176,-1.852,-0.15,2.162,0.035,0.012,-39.13,0.174,2.295,0.038,0.006,-119.096,0.369,3.03,0.007,0.006,-62.953,0.512,3.123,0.024,0.009,-44.076,0.354,3.169,0.003,0.002,-203.192,1.882,3.322,0.011,0.007,-64.424,0.491,3.367,0.004,0.01,-33.156,0.347,4.035,0.01,0.007,-54.809,0.582,4.206,0.008,0.006,-126.787,0.7,4.259,0.005,0.006,-81.241,0.666,4.365,0.078,0.006,-133.931,0.694,4.709,0.008,0.007,-56.424,0.646,5.037,0.017,0.007,-74.388,0.709,5.166,0.015,0.006,-92.303,0.871,5.505,0.02,0.004,-188.248,1.252,5.96,0.005,0.005,-76.783,1.251,6.042,0.007,0.005,-123.311,1.309,6.232,0.106,0.005,-272.789,1.304,6.622,0.001,0.005,-86.152,1.277,6.965,0.021,0.005,-133.403,1.323,7.128,0.072,0.007,-64.3,0.996,8.266,0.014,0.01,-26.517,0.829,8.37,0.008,0.008,-56.921,1.096,5.109,0.012,0.005,-127.691,1.009,5.69,0.022,0.004,-262.843,1.276,3.756,0.16,0.007,-93.698,0.53,6.116,0.008,0.005,-111.648,1.187,11.341,0.011,0.008,-37.095,1.479
47,4237,45033209_27519,8/15/2022 16:16,24.3,2,,FALSE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,100_LVL (old),none,,,10,2011,Pass,0,0,,2.171,2.289,3.014,3.128,3.157,3.308,3.388,4.061,4.193,4.266,4.337,-1.525,-0.6,-0.991,-0.471,-0.361,-1.177,-0.643,-0.95,-0.508,-0.943,-1.262,2.171,0.031,0.01,-46.645,0.211,2.289,0.03,0.011,-84.268,0.213,3.014,0.005,0.007,-35.092,0.446,3.128,0.02,0.006,-87.785,0.497,3.157,0.011,0.005,-80.464,0.676,3.308,0.008,0.008,-40.028,0.432,3.388,0.003,0.008,-33.814,0.452,4.061,0.008,0.007,-46.191,0.607,4.193,0.006,0.006,-99.613,0.686,4.266,0.007,0.006,-80.081,0.667,4.337,0.09,0.006,-90.396,0.737,4.708,0.007,0.009,-46.498,0.537,5.046,0.016,0.008,-45.789,0.633,5.187,0.012,0.008,-49.44,0.664,5.511,0.007,0.005,-130.562,1.173,5.983,0.008,0.007,-44.408,0.878,6.047,0.007,0.006,-52.026,0.943,6.247,0.007,0.006,-115.191,1.134,6.636,0.001,0.005,-87.026,1.208,6.966,0.002,0.007,-39.006,0.986,7.146,0.063,0.009,-44.655,0.833,8.282,0.012,0.01,-20.055,0.807,8.389,0.007,0.01,-32.2,0.859,5.105,0.005,0.005,-99.08,1.051,5.695,0.016,0.005,-181.936,1.147,3.745,0.017,0.006,-86.885,0.619,6.138,0.006,0.005,-82.379,1.121,11.349,0.016,0.008,-28.008,1.339
48,4268,45042397_1450,8/16/2022 1:56,31.7,2,,FALSE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,200_LA (old),none,,,1,2012,Pass,0,0,,2.185,2.313,3.014,3.126,3.158,3.313,3.395,4.072,4.193,4.282,4.369,1.111,-0.579,-0.442,-0.005,0.178,0.671,0.317,-0.258,0.198,0.595,0.129,2.185,0.126,0.011,-20.158,0.192,2.313,0.129,0.019,-21.995,0.124,3.014,0.056,0.006,-145.37,0.522,3.126,0.072,0.006,-186.436,0.535,3.158,0.076,0.006,-132.557,0.557,3.313,0.046,0.006,-116.142,0.55,3.395,0.021,0.011,-42.374,0.32,4.072,0.021,0.007,-84.32,0.554,4.193,0.027,0.005,-249.244,0.78,4.282,0.034,0.006,-133.729,0.714,4.369,0.052,0.005,-144.483,0.808,4.734,0.039,0.007,-106.003,0.658,5.062,0.073,0.008,-72.079,0.657,5.207,0.048,0.007,-79.004,0.729,5.523,0.018,0.006,-152.375,0.929,5.986,0.05,0.005,-222.014,1.148,6.061,0.06,0.006,-135.431,0.982,6.263,0.046,0.005,-185.97,1.191,6.638,0.008,0.007,-43.924,0.966,6.918,0.004,0.005,-52.42,1.412,7.177,0.04,0.011,-34.572,0.662,8.314,0.034,0.005,-107.498,1.804,8.399,0.158,0.013,-34.422,0.627,5.121,0.013,0.004,-173.059,1.294,5.69,0.005,0.006,-108.725,1.028,3.759,0.049,0.005,-116.495,0.724,6.148,0.022,0.005,-92.145,1.298,11.364,0.008,0.016,-13.263,0.69
49,9083,45020021_11846,8/11/2022 20:17,25.6,2,,FALSE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,100_LVL (old),none,,,9,2018,Pass,0,0,,2.173,2.293,3.025,3.135,3.163,3.319,3.397,4.079,4.213,4.294,4.375,-1.045,0.387,0.21,0.115,0.585,1.065,0.519,1.185,0.03,0.89,0.195,2.173,0.031,0.009,-39.692,0.249,2.293,0.034,0.01,-84.913,0.237,3.025,0.006,0.008,-51.409,0.361,3.135,0.022,0.006,-100.755,0.517,3.163,0.012,0.009,-48.187,0.334,3.319,0.008,0.009,-39.716,0.377,3.397,0.004,0.009,-32.794,0.383,4.079,0.009,0.007,-60.163,0.606,4.213,0.007,0.006,-105.566,0.658,4.294,0.006,0.006,-82.837,0.761,4.375,0.082,0.006,-85.203,0.686,4.735,0.007,0.008,-44.127,0.589,5.084,0.018,0.008,-48.834,0.643,5.211,0.12,0.006,-115.61,0.941,5.547,0.016,0.005,-130.419,1.048,6.014,0.009,0.005,-109.492,1.284,6.078,0.007,0.006,-70.897,1.04,6.259,0.063,0.005,-181.85,1.24,6.649,0.001,0.006,-83.825,1.169,6.96,0.006,0.003,-23.037,2.399,7.183,0.066,0.008,-52.815,0.875,8.322,0.01,0.008,-21.199,1.095,8.404,0.007,0.01,-24.375,0.831,5.135,0.002,0.005,-92.341,0.987,5.704,0.008,0.006,-88.058,0.992,3.759,0.017,0.006,-101.436,0.631,6.159,0.007,0.005,-100.979,1.308,11.416,0.021,0.009,-25.41,1.231
50,B0068,44947404_1450,8/4/2022 15:27,24.3,2,,FALSE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,100_LVL (old),none,,,6,2019,Pass,0,0,,2.189,2.297,3.032,3.152,3.186,3.309,3.423,4.099,4.199,4.293,4.351,-0.635,0.949,-0.82,1.63,1.626,-0.349,1.353,0.201,1.058,-0.612,0.704,2.189,0.026,0.01,-36.239,0.213,2.297,0.018,0.007,-50.969,0.325,3.032,0.006,0.007,-54.534,0.411,3.152,0.015,0.006,-89.718,0.527,3.186,0.01,0.005,-59.771,0.596,3.309,0.008,0.008,-50.186,0.419,3.423,0.003,0.007,-24.079,0.469,4.099,0.005,0.006,-75.347,0.698,4.199,0.005,0.005,-100.732,0.77,4.293,0.007,0.005,-87.134,0.952,4.351,0.107,0.006,-94.821,0.72,4.715,0.007,0.007,-51.961,0.666,5.064,0.019,0.008,-48.812,0.65,5.228,0.106,0.006,-71.473,0.866,5.531,0.012,0.006,-137.929,0.989,5.988,0.01,0.007,-64.586,0.895,6.067,0.005,0.004,-113.163,1.384,6.283,0.007,0.005,-109.998,1.303,6.707,0.001,0.004,-92.698,1.563,7.02,0.002,0.008,-43.14,0.918,7.153,0.066,0.009,-42.087,0.805,8.29,0.014,0.011,-19.26,0.771,8.467,0.005,0.008,-33.194,1.024,5.117,0.003,0.004,-107.28,1.26,5.703,0.019,0.005,-202.906,1.239,3.764,0.13,0.007,-80.185,0.511,6.175,0.006,0.005,-87.505,1.246,11.393,0.004,0.009,-23.604,1.325
51,D0631,45049841_1450,8/18/2022 17:26,25.3,2,,FALSE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,0,0,Pass,0,0,,2.189,2.302,3.023,3.15,3.166,3.309,3.406,4.069,4.19,4.268,4.331,-0.136,0.193,-0.888,0.611,0.04,-1.514,0.171,-0.501,0.373,-0.781,0.3,2.189,0.08,0.011,-66.11,0.191,2.302,0.1,0.009,-80.69,0.26,3.023,0.01,0.003,-46.44,1.082,3.15,0.048,0.006,-154.641,0.538,3.166,0.012,0.004,-178.72,0.862,3.309,0.019,0.008,-71.949,0.419,3.406,0.007,0.009,-42.795,0.362,4.069,0.01,0.007,-92.123,0.571,4.19,0.011,0.006,-144.704,0.658,4.268,0.019,0.006,-175.83,0.726,4.331,0.206,0.008,-105.901,0.552,4.694,0.018,0.007,-111.818,0.637,5.048,0.029,0.008,-78.377,0.667,5.204,0.015,0.005,-95.511,1.031,5.519,0.084,0.005,-170.64,1.038,5.988,0.025,0.006,-138.911,0.995,6.052,0.014,0.005,-183.988,1.24,6.267,0.012,0.006,-135.654,1.038,6.678,0.003,0.009,-33.826,0.77,7.02,0.004,0.008,-49.884,0.83,7.15,0.018,0.008,-63.581,0.899,8.279,0.055,0.01,-49.22,0.861,8.456,0.02,0.01,-50.56,0.879,5.11,0.003,0.004,-138.117,1.213,5.696,0.014,0.008,-66.983,0.678,3.76,0.021,0.005,-105.91,0.72,6.16,0.009,0.005,-125.931,1.229,11.355,0.001,0.009,-12.239,1.23
52,4308,45060355_14625,8/31/2022 15:58,24.4,2,,FALSE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,100_LVL (old),none,,,2,2012,Pass,0,0,,2.174,2.291,3.02,3.131,3.159,3.312,3.387,4.061,4.197,4.264,4.344,-1.272,-0.105,-0.545,-0.533,-0.381,-0.77,-0.699,-0.944,-0.481,-0.925,-0.405,2.174,0.032,0.011,-44.852,0.195,2.291,0.026,0.012,-74.792,0.184,3.02,0.006,0.008,-59.76,0.393,3.131,0.021,0.007,-69.527,0.444,3.159,0.009,0.005,-60.918,0.657,3.312,0.012,0.007,-61.641,0.499,3.387,0.004,0.008,-37.983,0.408,4.061,0.008,0.007,-53.273,0.597,4.197,0.006,0.006,-124.494,0.76,4.264,0.006,0.007,-48.787,0.623,4.344,0.009,0.007,-45.06,0.668,4.706,0.007,0.009,-35.379,0.544,5.044,0.014,0.009,-36.612,0.58,5.186,0.01,0.009,-30.536,0.551,5.511,0.011,0.006,-126.744,0.964,5.985,0.005,0.006,-24.872,0.966,6.048,0.004,0.007,-38.163,0.92,6.248,0.035,0.008,-53.466,0.769,6.632,0.001,0.005,-30.523,1.317,6.972,0.015,0.008,-54.895,0.833,7.147,0.044,0.011,-23.998,0.641,8.281,0.008,0.012,-12.223,0.685,8.395,0.005,0.012,-19.326,0.717,5.109,0.006,0.004,-116.356,1.178,5.7,0.014,0.005,-94.777,1.054,3.753,0.019,0.007,-71.617,0.56,6.137,0.005,0.003,-83.791,1.915,11.349,0.009,0.009,-24.263,1.256
53,3171,45195236_1450,11/5/2022 0:06,23.2,2,QPLog 10-1631 (16) rev12,FALSE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,200_LA (old),none,,,8,2007,Pass,0,0,,2.167,2.295,3.004,3.128,3.161,3.313,3.402,4.072,4.201,4.278,4.357,-0.83,-1.454,-0.442,0.413,0.216,-0.002,-0.006,-1.296,0.142,-1.411,-0.918,2.167,0.241,0.005,-42.516,0.415,2.295,0.34,0.003,-52.404,0.724,3.004,0.134,0.007,-95.557,0.434,3.128,0.227,0.006,-185.222,0.541,3.161,0.145,0.006,-103.251,0.546,3.313,0.12,0.008,-105.349,0.426,3.402,0.099,0.007,-77.169,0.471,4.072,0.041,0.007,-95.17,0.583,4.201,0.077,0.006,-211.857,0.749,4.278,0.114,0.006,-140.318,0.758,4.357,0.206,0.006,-111.851,0.689,4.717,0.14,0.007,-109.604,0.665,5.051,0.201,0.009,-56.048,0.541,5.2,0.063,0.006,-57.788,0.883,5.505,0.117,0.006,-119.427,0.888,5.981,0.185,0.007,-89.435,0.853,6.054,0.1,0.005,-178.683,1.239,6.262,0.127,0.006,-124.19,1.038,6.642,0.037,0.007,-53.085,0.926,6.968,0.028,0.01,-49.731,0.71,7.137,0.161,0.008,-68.397,0.927,8.266,0.04,0.01,-41.581,0.823,8.4,0.036,0.009,-50.313,0.928,5.114,0.028,0.004,-172.565,1.284,5.698,0.019,0.008,-70.715,0.74,3.749,0.145,0.007,-56.944,0.51,6.14,0.038,0.006,-126.403,1.09,11.328,0.003,0.01,-8.732,1.114
54,6147,45208093_1450,11/12/2022 0:50,23.8,2,QPLog 10-1631 (16) rev12,FALSE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,200_LA (old),none,,,4,2015,Pass,0,0,,2.163,2.3,3.031,3.138,3.169,3.309,3.393,4.06,4.189,4.265,4.339,-0.273,0.854,-0.82,-0.153,-0.447,-1.061,-0.451,-0.478,-0.131,-0.147,0.488,2.163,0.271,0.009,-12.241,0.234,2.3,0.305,0.006,-22.327,0.413,3.031,0.104,0.008,-47.719,0.391,3.138,0.342,0.006,-164.331,0.52,3.169,0.021,0.003,-304.762,1.193,3.309,0.145,0.006,-132.945,0.562,3.393,0.063,0.009,-47.262,0.373,4.06,0.077,0.006,-122.359,0.64,4.189,0.067,0.006,-146.473,0.696,4.265,0.101,0.005,-176.09,0.892,4.339,0.148,0.007,-110.711,0.633,4.712,0.096,0.007,-114.136,0.663,5.05,0.187,0.008,-73.153,0.647,5.191,0.08,0.007,-80.828,0.748,5.519,0.05,0.006,-144.838,0.888,5.98,0.126,0.006,-171.457,1.014,6.043,0.138,0.008,-70.508,0.783,6.256,0.101,0.006,-137.807,1.082,6.649,0.034,0.006,-58.328,1.087,6.992,0.025,0.009,-59.265,0.787,7.162,0.143,0.008,-65.648,0.864,8.304,0.043,0.009,-47.333,0.888,8.421,0.042,0.009,-50.576,0.942,5.114,0.017,0.003,-128.458,1.6,5.694,0.02,0.009,-70.756,0.664,3.762,0.157,0.006,-83.282,0.632,6.134,0.053,0.006,-152.993,1.073,11.362,0.002,0.003,-6.111,3.974
55,6551,45217029_355,11/22/2022 20:23,22.7,2,,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,100_LVL (old),none,,,12,2015,Pass,0,0,,2.163,2.289,3.019,3.119,3.152,3.315,3.37,4.038,4.197,4.256,4.336,-1.536,-0.222,-0.202,-1.528,-1.579,-1.196,-1.178,-0.875,-1.108,-1.074,-0.392,2.163,0.032,0.011,-40.388,0.198,2.289,0.026,0.007,-55.896,0.328,3.019,0.006,0.01,-45.233,0.309,3.119,0.022,0.009,-50.562,0.339,3.152,0.011,0.004,-132.919,0.772,3.315,0.011,0.006,-68.13,0.531,3.37,0.003,0.007,-28.735,0.454,4.038,0.007,0.004,-45.186,1.049,4.197,0.005,0.006,-93.504,0.731,4.256,0.006,0.009,-39.031,0.496,4.336,0.006,0.008,-31.233,0.518,4.714,0.005,0.006,-36.517,0.817,5.044,0.011,0.009,-35.24,0.563,5.177,0.003,0.003,-31.089,1.957,5.512,0.015,0.005,-128.36,1.099,5.976,0.004,0.002,-53.635,3.808,6.036,0.003,0.009,-28.504,0.678,6.233,0.029,0.008,-55.768,0.767,6.609,0.001,0.005,-100.684,1.4,6.917,0.004,0.004,-27.797,1.584,7.144,0.038,0.011,-22.448,0.635,8.285,0.006,0.01,-12.613,0.81,8.369,0.004,0.01,-14.529,0.862,5.1,0.006,0.005,-105.632,1.124,5.687,0.012,0.005,-104.649,1.036,3.754,0.016,0.007,-57.125,0.535,6.119,0.036,0.01,-81.396,0.639,11.322,0.007,0.008,-27.541,1.343
56,4289,45277064_1450,12/22/2022 1:30,22.7,2,QPLog 10-1631 (16) rev14,FALSE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,200_LA (old),none,,,2,2012,Pass,0,0,,2.163,2.293,3.014,3.13,3.159,3.311,3.381,4.049,4.198,4.259,4.338,-1.09,-0.613,-0.648,-0.85,-1.005,-1.119,-1.012,-1.178,-0.712,-1.21,-0.364,2.163,0.126,0.008,-69.3,0.274,2.293,0.173,0.008,-87.288,0.28,3.014,0.117,0.008,-43.514,0.356,3.13,0.33,0.007,-116.567,0.424,3.159,0.02,0.003,-310.867,1.128,3.311,0.141,0.008,-112.546,0.44,3.381,0.089,0.008,-71.023,0.415,4.049,0.072,0.008,-127.165,0.537,4.198,0.063,0.006,-182.463,0.712,4.259,0.166,0.006,-143.51,0.685,4.338,0.129,0.006,-105.803,0.731,4.7,0.107,0.007,-104.879,0.683,5.042,0.176,0.008,-65.257,0.611,5.18,0.067,0.008,-49.99,0.685,5.507,0.084,0.006,-139.497,0.911,5.986,0.168,0.007,-108.248,0.914,6.045,0.085,0.006,-143.649,1.055,6.242,0.101,0.006,-129.137,1.043,6.63,0.036,0.006,-60.117,1.143,6.938,0.014,0.005,-53.449,1.342,7.141,0.158,0.008,-64.322,0.849,8.275,0.041,0.013,-37.141,0.628,8.39,0.042,0.009,-55.785,0.93,5.106,0.038,0.005,-178.551,1.105,5.695,0.025,0.006,-116.513,0.877,3.754,0.138,0.006,-52.105,0.584,6.115,0.017,0.005,-53.587,1.247,11.333,0.002,0.008,-11.44,1.392
